symptom,disease
Abdominal swelling,Abdominal hernia
Abdominal pain,Abdominal hernia
Fever,Abdominal hernia
Obstipation,Abdominal hernia
Nail defects,Deafness -- enamel hypoplasia -- nail defects
White patches on fingernails,Deafness -- enamel hypoplasia -- nail defects
Thin enamel on secondary teeth,Deafness -- enamel hypoplasia -- nail defects
Transverse ridges on toenails,Deafness -- enamel hypoplasia -- nail defects
Sensorineural hearing loss,Deafness -- enamel hypoplasia -- nail defects
Sensitivity to light,Achromatopsia type 2
Absence of photopic flicker,Achromatopsia type 2
Undulatory nystagmus,Achromatopsia type 2
Head posture against strong light,Achromatopsia type 2
Loss of visual acuity,Achromatopsia type 2
Pendular nystagmus,Achromatopsia type 2
Abnormal amount of time spent thinking about hairless genitals,Acomoclitic
Recurring intense sexual fantasies involving hairless genitals,Acomoclitic
Recurring intense sexual urges involving hairless genitals,Acomoclitic
Sexual interest in hairless genitals,Acomoclitic
Abnormal amount of time spent thinking about certain sounds,Acousticophilia
Recurring intense sexual fantasies involving certain sounds,Acousticophilia
Recurring intense sexual urges involving certain sounds,Acousticophilia
Sexual interest in certain sounds,Acousticophilia
Sexual preference for certain sounds,Acousticophilia
Anxiety,Acousticophobia
Extreme measures taken to avoid,Acousticophobia
Trembling,Acousticophobia
Feeling of panic,Acousticophobia
Feeling of terror,Acousticophobia
Shortness of breath,Acousticophobia
Nausea,Actinic prurigo
Itchy skin rash,Actinic prurigo
Headaches,Actinic prurigo
Chills,Actinic prurigo
Bumpy skin rash,Actinic prurigo
Malaise,Actinic prurigo
Low grade fever,Acute interstitial pneumonia
Dry cough,Acute interstitial pneumonia
Persistent unwell feeling,Acute interstitial pneumonia
Shortness of breath,Acute interstitial pneumonia
Sneezing,Acute (or transient) urinary incontinence
Engaging in other physical activity,Acute (or transient) urinary incontinence
Standing,Acute (or transient) urinary incontinence
Exercising,Acute (or transient) urinary incontinence
Coughing,Acute (or transient) urinary incontinence
Extra digits,Acrocephalopolydactyly
Facial anomalies,Acrocephalopolydactyly
Swelling of the brain (hydrocephalus),Acrocephalopolydactyly
Limb abnormalities,Acrocephalopolydactyly
Abnormal skull shape,Acrocephalopolydactyly
Extra finger beside little finger,Crossed polysyndactyly
Webbed toes,Crossed polysyndactyly
Webbed fingers,Crossed polysyndactyly
Duplicated big toe,Crossed polysyndactyly
Broad big toes,Crossed polysyndactyly
Muscle wasting,Gamstorp-wohlfart syndrome
Myotinia,Gamstorp-wohlfart syndrome
Increased sweating,Gamstorp-wohlfart syndrome
Muscle twitching,Gamstorp-wohlfart syndrome
Thin nails,Adactylia unilateral dominant
Absent end portions of fingers on one hand,Adactylia unilateral dominant
Underdeveloped fingernails,Adactylia unilateral dominant
Hyperconvex fingernails,Adactylia unilateral dominant
Hand bone anomalies,Adactylia unilateral dominant
Underdeveloped thumbs,Adactylia unilateral dominant
Bleeding,Acquired prothrombin complex deficiency
Frequent hemorrhages inside skull,Acquired prothrombin complex deficiency
Liver enlargement,Acquired prothrombin complex deficiency
Pallor,Acquired prothrombin complex deficiency
Lack of abdominal muscles,Absent abdominal musculature with microphthalmia and joint laxity
Loose joints,Absent abdominal musculature with microphthalmia and joint laxity
Facial anomalies,Absent abdominal musculature with microphthalmia and joint laxity
Small eyes,Absent abdominal musculature with microphthalmia and joint laxity
Reduced sensitivity to contrast,Amblyopia
Poor vision in one eye,Amblyopia
Reduced sensitivity to motion,Amblyopia
Impaired depth perception,Amblyopia
Sensitivity to light,"Achromatopsia incomplete, x-linked"
Impaired color vision,"Achromatopsia incomplete, x-linked"
Myopia,"Achromatopsia incomplete, x-linked"
Blue color blindness,"Achromatopsia incomplete, x-linked"
Reduced visual acuity,"Achromatopsia incomplete, x-linked"
Nystagmus,"Achromatopsia incomplete, x-linked"
Narrowed pulmonary valves,Acrocephaly -- pulmonary stenosis -- mental retardation
Swelling,Acrocephaly -- pulmonary stenosis -- mental retardation
Mental retardation,Acrocephaly -- pulmonary stenosis -- mental retardation
Pointy skull,Acrocephaly -- pulmonary stenosis -- mental retardation
Shortness of breath,Acrocephaly -- pulmonary stenosis -- mental retardation
Rapid breathing,Acrocephaly -- pulmonary stenosis -- mental retardation
Pneumonitis,Acute elemental mercury inhalation
Cough,Acute elemental mercury inhalation
Breathing difficulties,Acute elemental mercury inhalation
Bloody sputum,Acute elemental mercury inhalation
Swallowing difficulties,Achalasia -- alacrimia syndrome
Absent tears,Achalasia -- alacrimia syndrome
Achalasia,Achalasia -- alacrimia syndrome
Regurgitating food,Achalasia -- alacrimia syndrome
Weight loss,Adenocarcinoma of the lung
Weakness,Adenocarcinoma of the lung
Fever,Adenocarcinoma of the lung
Shortness of breath,Adenocarcinoma of the lung
Haemoptysis (coughing up blood): sputum may be streaked with blood,Adenocarcinoma of the lung
Coughing,Adenocarcinoma of the lung
Sensitivity to light,Adies syndrome
Loss of tendon reflexes (especially knee jerk reflex),Adies syndrome
Headaches,Adies syndrome
Pupil that responds slowly to light,Adies syndrome
Unequal pupils,Adies syndrome
Anxiety,Aelurophobia
Trembling,Aelurophobia
Feeling of panic,Aelurophobia
Feeling of terror,Aelurophobia
Extreme avoidance measures taken,Aelurophobia
Shortness of breath,Aelurophobia
Urinary urgency,Prostate conditions/benign prostatic hyperplasia
Altered strength of urinary stream,Prostate conditions/benign prostatic hyperplasia
Urination pain,Prostate conditions/benign prostatic hyperplasia
Urinary leakage,Prostate conditions/benign prostatic hyperplasia
Increased urination,Prostate conditions/benign prostatic hyperplasia
Absent optic nerve in one eye,Behrens-baumann-dust syndrome
Absent optic disk in one eye,Behrens-baumann-dust syndrome
Dandy walker brain cyst,Behrens-baumann-dust syndrome
Absent eyelids,Behrens-baumann-dust syndrome
Small eyes,Behrens-baumann-dust syndrome
Discolored skin lump,Acrospiroma
Flesh-colored skin lump,Acrospiroma
Painless skin lump,Acrospiroma
Skin lumps,Acrospiroma
Swelling,Adenitis
Malaise,Adenitis
Cellulitis,Adenitis
Fever,Adenitis
Anorexia,Adenitis
Night sweats,Arenavirus
Malaise,Arenavirus
Abdominal pain,Arenavirus
Fever,Arenavirus
Night sweats,Arenaviruses
Malaise,Arenaviruses
Abdominal pain,Arenaviruses
Fever,Arenaviruses
Impaired hearing,Hereditary hearing disorder
Sensorineural deafness,Hereditary hearing disorder
Deafness,Hereditary hearing disorder
Conductive deafness,Hereditary hearing disorder
Nausea,Acute tin poisoning
Muscle cramps,Acute tin poisoning
Headaches,Acute tin poisoning
Diarrhea,Acute tin poisoning
Chills,Acute tin poisoning
Spasticity,Microphthalmia and mental deficiency
Mental retardation,Microphthalmia and mental deficiency
Seizures,Microphthalmia and mental deficiency
Small eyes,Microphthalmia and mental deficiency
Cloudy corneas,Microphthalmia and mental deficiency
Night sweats,Adult t-cell leukemia/lymphoma
Pruritis,Adult t-cell leukemia/lymphoma
Lymphadenopathy,Adult t-cell leukemia/lymphoma
Fever,Adult t-cell leukemia/lymphoma
Anorexia,Adult t-cell leukemia/lymphoma
Abnormal pupil shape,Microcornea -- cataract -- coloboma syndrome
Small corneas,Microcornea -- cataract -- coloboma syndrome
Cataract,Microcornea -- cataract -- coloboma syndrome
Coloboma,Microcornea -- cataract -- coloboma syndrome
Muscle cramps,"Alcoholic, reversible acute muscular"
Myoglobinuria,"Alcoholic, reversible acute muscular"
Muscle aches,"Alcoholic, reversible acute muscular"
Muscle tenderness,"Alcoholic, reversible acute muscular"
Sensitivity to light,Intraocular hemorrhage
Eye pain,Intraocular hemorrhage
Impaired vision or blindness in more severe cases,Intraocular hemorrhage
Eye bleeding,Intraocular hemorrhage
Blurred vision,Intraocular hemorrhage
Red eyes,Intraocular hemorrhage
Nausea,Acute zinc toxicity
Diarrhea,Acute zinc toxicity
Gastrointestinal pain,Acute zinc toxicity
Fever,Acute zinc toxicity
Grand mal seizures,Latham-munro syndrome
Mute,Latham-munro syndrome
Deafness,Latham-munro syndrome
Muscle twitching,Latham-munro syndrome
Symptoms of sprain,Ankle sprain
Ankle swelling,Ankle sprain
Ankle pain,Ankle sprain
Reduced ankle mobility,Ankle sprain
Ankle bruising,Ankle sprain
Symptoms of the silent killer diseases,Anxiety conditions
Lesser known silent killer diseases,Anxiety conditions
Pitfalls of online diagnosis,Anxiety conditions
Online diagnosis,Anxiety conditions
Self diagnosis pitfalls,Anxiety conditions
Varies depending on the cause,Arthralgia
Symptoms from underlying cause,Arthralgia
May include swelling,Arthralgia
Joint pain,Arthralgia
Stiffness,Arthralgia
Redness,Arthralgia
Back tenderness,Back sprain
Back stiffness,Back sprain
Back swelling,Back sprain
Bruising,Back sprain
Loss of balance,"Inclusion body myopathy, type 3"
Weak eye muscles,"Inclusion body myopathy, type 3"
Progressive muscle weakness,"Inclusion body myopathy, type 3"
Congenital joint contractures,"Inclusion body myopathy, type 3"
Weak proximal muscles,"Inclusion body myopathy, type 3"
Enlarged liver,Hypoplasia hepatic ductular
Cholestasis,Hypoplasia hepatic ductular
Abnormal stool color,Hypoplasia hepatic ductular
Abnormal liver,Hypoplasia hepatic ductular
Itching,Hypoplasia hepatic ductular
Prolonged jaundice,Hypoplasia hepatic ductular
Head jerking,"Apraxia, oculomotor, cogan type"
Inability to move eyes horizontally,"Apraxia, oculomotor, cogan type"
Difficulty turning quickly,"Apraxia, oculomotor, cogan type"
Reading difficulty,"Apraxia, oculomotor, cogan type"
Spoke-like opacities radiating from the centre of the lens,"Cataract, congenital, cerulean, type 3"
Bluish dots around edge of eye lens,"Cataract, congenital, cerulean, type 3"
Whitish dots around edge of eye lens,"Cataract, congenital, cerulean, type 3"
Impaired vision,"Cataract, congenital, cerulean, type 3"
Nausea,Atamasco lily poisoning
Throat irritation,Atamasco lily poisoning
Diarrhea,Atamasco lily poisoning
Abdominal pain,Atamasco lily poisoning
Mouth irritation,Atamasco lily poisoning
Blindness,Alezzandrini syndrome
Impaired vision in one eye,Alezzandrini syndrome
Patch of white hair,Alezzandrini syndrome
Retinal detachment,Alezzandrini syndrome
Nodules or thickenings along hair shaft,Bamboo hair
Hair appears to grow poorly,Bamboo hair
Damaged hair appearance,Bamboo hair
Hair breaks off easily,Bamboo hair
Psychomotor retardation,Cleft lip -- palate -- mental retardation -- corneal opacity
Cleft palate,Cleft lip -- palate -- mental retardation -- corneal opacity
Mental retardation,Cleft lip -- palate -- mental retardation -- corneal opacity
Cleft lips,Cleft lip -- palate -- mental retardation -- corneal opacity
Retarded growth,Cleft lip -- palate -- mental retardation -- corneal opacity
Cloudy corneas,Cleft lip -- palate -- mental retardation -- corneal opacity
Reduced intelligence,Monosomy 18 mosaicism
Cleft palate,Monosomy 18 mosaicism
Cleft lips,Monosomy 18 mosaicism
Mild behavioral problems,Monosomy 18 mosaicism
Loss of accommodation,Aphakia
Hyperopia,Aphakia
Absent eye lens,Aphakia
Blurred vision,Aphakia
Nausea,Asparagus fern poisoning
Skin redness,Asparagus fern poisoning
Skin swelling,Asparagus fern poisoning
Skin irritation,Asparagus fern poisoning
Skin blistering,Asparagus fern poisoning
Clonus,"Anemia, sideroblastic spinocerebellar ataxia"
Hyperchromic microcytic anemia,"Anemia, sideroblastic spinocerebellar ataxia"
Positive babinski sign,"Anemia, sideroblastic spinocerebellar ataxia"
Impaired ability to control voluntary movements,"Anemia, sideroblastic spinocerebellar ataxia"
Short statures,Deafness -- epiphyseal dysplasia -- short stature
Inguinal hernias,Deafness -- epiphyseal dysplasia -- short stature
Umbilical hernia,Deafness -- epiphyseal dysplasia -- short stature
Blocked tear ducts,Deafness -- epiphyseal dysplasia -- short stature
Mental retardation,Deafness -- epiphyseal dysplasia -- short stature
Deafness,Deafness -- epiphyseal dysplasia -- short stature
Nausea,Chemical poisoning -- alkaline dry cell batteries
Diarrhea,Chemical poisoning -- alkaline dry cell batteries
Abdominal pain,Chemical poisoning -- alkaline dry cell batteries
Mouth pain,Chemical poisoning -- alkaline dry cell batteries
Sudden decrease in blood pressure,Chemical poisoning -- alkaline dry cell batteries
Slow breathing,Antidiarrheal agent poisoning
Pinpoint pupils,Antidiarrheal agent poisoning
Headaches,Antidiarrheal agent poisoning
Constipations,Antidiarrheal agent poisoning
Lethargy,Antidiarrheal agent poisoning
Itchy skin,Asteatotic dermatitis
Dry skin,Asteatotic dermatitis
Red skin,Asteatotic dermatitis
Superficially cracked skin,Asteatotic dermatitis
Fissured skin,Asteatotic dermatitis
Skin peeling,Asteatotic dermatitis
Extra digits,Liotrix -- teratogenic agent
Retarded fetal growth,Liotrix -- teratogenic agent
Heart defect,Liotrix -- teratogenic agent
Branchial vestiga,Liotrix -- teratogenic agent
Goiters,Liotrix -- teratogenic agent
Memory changes,Prion disease
Personality changes,Prion disease
Progressive movement problems,Prion disease
Impaired brain function,Prion disease
Shoulder clicking,Torn rotator cuff
Deltoid muscle pain,Torn rotator cuff
Weak shoulders,Torn rotator cuff
Shoulder pain,Torn rotator cuff
Convulsions,Chemical poisoning -- resmethrin
Skin irritation,Chemical poisoning -- resmethrin
Eye irritation,Chemical poisoning -- resmethrin
Tremors,Chemical poisoning -- resmethrin
Eyelid adhesions,Ankyloblepharon filiforme adnatum -- cleft palate
Cleft palate,Ankyloblepharon filiforme adnatum -- cleft palate
Fusion of eyelids,Ankyloblepharon filiforme adnatum -- cleft palate
Cleft lips,Ankyloblepharon filiforme adnatum -- cleft palate
Nausea,Amaryllis poisoning
Salivations,Amaryllis poisoning
Diarrhea,Amaryllis poisoning
Abdominal pain,Amaryllis poisoning
Excessive salivation,Amaryllis poisoning
Spasticity,Spastic paresis -- glaucoma -- mental retardation
Weak leg muscles,Spastic paresis -- glaucoma -- mental retardation
Glaucoma,Spastic paresis -- glaucoma -- mental retardation
Stiff leg muscles,Spastic paresis -- glaucoma -- mental retardation
Mental retardation,Spastic paresis -- glaucoma -- mental retardation
Anxiety,Arachibutyrophobia
Trembling,Arachibutyrophobia
Feeling of panic,Arachibutyrophobia
Feeling of terror,Arachibutyrophobia
Extreme avoidance measures taken,Arachibutyrophobia
Shortness of breath,Arachibutyrophobia
Decrease in peripheral pulses,Autoimmune atherosclerosis
Constriction,Autoimmune atherosclerosis
Chest pain,Autoimmune atherosclerosis
Shortness of breath,Autoimmune atherosclerosis
Sore throat,Adenoid disorders
Enlarged tonsils,Adenoid disorders
Tonsillar exudates,Adenoid disorders
Pharyngeal erythema,Adenoid disorders
Cervical adenopathy,Adenoid disorders
Fever,Adenoid disorders
Inability to sit still and relax even during short periods,Adult adhd
Inability to stay focused on tasks,Adult adhd
Unintentionally tuning out or not paying attention,Adult adhd
Frequently losing important items,Adult adhd
Excessive talking,Adult adhd
Exhibiting restlessness,Adult adhd
Visual changes,Adult low grade infiltrative supratentorial astrocytoma
Headaches,Adult low grade infiltrative supratentorial astrocytoma
Papilledema,Adult low grade infiltrative supratentorial astrocytoma
Failure to thrive,Adult low grade infiltrative supratentorial astrocytoma
Endocrine dysfunction,Adult low grade infiltrative supratentorial astrocytoma
Seizures,Adult low grade infiltrative supratentorial astrocytoma
Anxiety,Aerophobia
Trembling,Aerophobia
Feeling of panic,Aerophobia
Feeling of terror,Aerophobia
Extreme avoidance measures taken,Aerophobia
Shortness of breath,Aerophobia
Anxiety,Aichmophobia
Trembling,Aichmophobia
Feeling of panic,Aichmophobia
Feeling of terror,Aichmophobia
Extreme avoidance measures taken,Aichmophobia
Shortness of breath,Aichmophobia
Sexual interest associated with using obscene language,Aischrolgia
Abnormal amount of time spent thinking about using obscene language,Aischrolgia
Recurring intense sexual urges involving using obscene language,Aischrolgia
Sexual preference for using obscene language,Aischrolgia
Impaired coordination,Alcoholic cerebellar degeneration
Truncal ataxia,Alcoholic cerebellar degeneration
Tremors,Alcoholic cerebellar degeneration
Impaired balance,Alcoholic cerebellar degeneration
Impaired gait,Alcoholic cerebellar degeneration
Anxiety,Alektorophobia
Trembling,Alektorophobia
Feeling of panic,Alektorophobia
Feeling of terror,Alektorophobia
Extreme avoidance measures taken,Alektorophobia
Shortness of breath,Alektorophobia
Anxiety,Algophobia
Trembling,Algophobia
Feeling of panic,Algophobia
Feeling of terror,Algophobia
Extreme avoidance measures taken,Algophobia
Shortness of breath,Algophobia
Abnormal amount of time spent thinking about high heels,Altocalciphilia
Recurring intense sexual fantasies involving high heels,Altocalciphilia
Sexual preference for high heels,Altocalciphilia
Sexual interest in high heels,Altocalciphilia
Dementia,Aluminium toxicity
Osteomalacia,Aluminium toxicity
Anaemia,Aluminium toxicity
Fractures,Aluminium toxicity
Seizures,Aluminium toxicity
Anxiety,Amaxophobia
Trembling,Amaxophobia
Feeling of panic,Amaxophobia
Feeling of terror,Amaxophobia
Extreme avoidance measures taken,Amaxophobia
Shortness of breath,Amaxophobia
Anxiety,Amychophobia
Trembling,Amychophobia
Feeling of panic,Amychophobia
Feeling of terror,Amychophobia
Extreme avoidance measures taken,Amychophobia
Shortness of breath,Amychophobia
Anxiety,Androphobia
Trembling,Androphobia
Feeling of panic,Androphobia
Feeling of terror,Androphobia
Extreme avoidance measures taken,Androphobia
Shortness of breath,Androphobia
Anxiety,Anglophobia
Trembling,Anglophobia
Feeling of panic,Anglophobia
Feeling of terror,Anglophobia
Extreme avoidance measures taken,Anglophobia
Shortness of breath,Anglophobia
Breathlessness,Anisocytosis
Tiredness,Anisocytosis
Pale skin,Anisocytosis
Pale conjunctiva,Anisocytosis
Symptoms of underlying disorder,Anisocytosis
Pale nail beds,Anisocytosis
Speech impairment,Ankyloglossia
Short frenulum (tissue holding tongue to floor of mouth),Ankyloglossia
Reduced mobility of tip of tongue,Ankyloglossia
Impaired feeding ability,Ankyloglossia
Causes no problems in most cases,Ankyloglossia
Impaired oral hygiene,Ankyloglossia
Anxiety,Ankylophobia
Trembling,Ankylophobia
Feeling of panic,Ankylophobia
Feeling of terror,Ankylophobia
Extreme avoidance measures taken,Ankylophobia
Shortness of breath,Ankylophobia
Anal lump,Anorectal abscess
Drainage of pus from anus,Anorectal abscess
Constipations,Anorectal abscess
Chills,Anorectal abscess
Anal pain,Anorectal abscess
Fever,Anorectal abscess
Tenesmus,Anorectal disorders
Haemorrhage,Anorectal disorders
Abdominal pain,Anorectal disorders
Bleeding from the rectum,Anorectal disorders
Obstruction,Anorectal disorders
Altered bowel habits,Anorectal disorders
Anxiety,Anthophobia
Trembling,Anthophobia
Feeling of panic,Anthophobia
Feeling of terror,Anthophobia
Extreme avoidance measures taken,Anthophobia
Shortness of breath,Anthophobia
Abnormal amount of time spent thinking about cannibalism,Anthropophagy
Recurring intense sexual fantasies involving cannibalism,Anthropophagy
Recurring intense sexual urges involving cannibalism,Anthropophagy
Sexual preference for cannibalism,Anthropophagy
Sexual interest in cannibalism,Anthropophagy
Anxiety,Anthropophobia
Trembling,Anthropophobia
Feeling of panic,Anthropophobia
Feeling of terror,Anthropophobia
Extreme avoidance measures taken,Anthropophobia
Shortness of breath,Anthropophobia
Anxiety,Antlophobia
Trembling,Antlophobia
Feeling of panic,Antlophobia
Feeling of terror,Antlophobia
Extreme avoidance measures taken,Antlophobia
Shortness of breath,Antlophobia
Anxiety,Apeirophobia
Trembling,Apeirophobia
Feeling of panic,Apeirophobia
Feeling of terror,Apeirophobia
Extreme avoidance measures taken,Apeirophobia
Shortness of breath,Apeirophobia
Anxiety,Apiophobia
Trembling,Apiophobia
Feeling of panic,Apiophobia
Feeling of terror,Apiophobia
Extreme avoidance measures taken,Apiophobia
Shortness of breath,Apiophobia
Poor wound healing,Arterial occlusive disease
Symptoms vary depending on the location of the blocked vessel,Arterial occlusive disease
Chest pain,Arterial occlusive disease
Claudication,Arterial occlusive disease
Skin ulcers,Arterial occlusive disease
Chest discomfort,Arterial occlusive disease
Cough,Asbestos conditions
Exercise intolerance,Asbestos conditions
Finger clubbing,Asbestos conditions
Right sided heart failure,Asbestos conditions
Cyanosis,Asbestos conditions
Anxiety,Astraphobia
Trembling,Astraphobia
Feeling of panic,Astraphobia
Feeling of terror,Astraphobia
Extreme avoidance measures taken,Astraphobia
Shortness of breath,Astraphobia
Anxiety,Astrophobia
Trembling,Astrophobia
Feeling of panic,Astrophobia
Feeling of terror,Astrophobia
Extreme avoidance measures taken,Astrophobia
Shortness of breath,Astrophobia
Anxiety,Atelophobia
Trembling,Atelophobia
Feeling of panic,Atelophobia
Feeling of terror,Atelophobia
Extreme avoidance measures taken,Atelophobia
Shortness of breath,Atelophobia
Anxiety,Atephobia
Trembling,Atephobia
Feeling of panic,Atephobia
Feeling of terror,Atephobia
Extreme avoidance measures taken,Atephobia
Shortness of breath,Atephobia
Anxiety,Aulophobia
Trembling,Aulophobia
Feeling of panic,Aulophobia
Feeling of terror,Aulophobia
Extreme avoidance measures taken,Aulophobia
Shortness of breath,Aulophobia
Anxiety,Aurophobia
Trembling,Aurophobia
Feeling of panic,Aurophobia
Feeling of terror,Aurophobia
Extreme avoidance measures taken,Aurophobia
Shortness of breath,Aurophobia
Anxiety,Auroraphobia
Trembling,Auroraphobia
Feeling of panic,Auroraphobia
Feeling of terror,Auroraphobia
Extreme avoidance measures taken,Auroraphobia
Shortness of breath,Auroraphobia
Diplopia,Autoimmune eye diseases
Conjunctivitis,Autoimmune eye diseases
Loss of sight,Autoimmune eye diseases
Headaches,Autoimmune eye diseases
Swelling,Autoimmune eye diseases
Paresthesia,Autoimmune myelopathy
Gait difficulties,Autoimmune myelopathy
Urinary incontinence,Autoimmune myelopathy
Neck pain,Autoimmune myelopathy
Shoulder pain,Autoimmune myelopathy
Paresthesia,Autoimmune neuropathies
Numbness,Autoimmune neuropathies
Tingling,Autoimmune neuropathies
Decreased reflexes,Autoimmune neuropathies
Angioedema,Autoimmune urticaria
Pruritis,Autoimmune urticaria
Anaphylactic reaction,Autoimmune urticaria
Raised blanched wheals,Autoimmune urticaria
Rapid onset,Autoimmune urticaria
Hazy vision,Autoimmune uveitis
Vision disturbances,Autoimmune uveitis
Symptoms of uveitis,Autoimmune uveitis
Floaters,Autoimmune uveitis
Anxiety,Bacillophobia
Trembling,Bacillophobia
Feeling of panic,Bacillophobia
Feeling of terror,Bacillophobia
Extreme avoidance measures taken,Bacillophobia
Shortness of breath,Bacillophobia
Anxiety,Bacteriophobia
Trembling,Bacteriophobia
Feeling of panic,Bacteriophobia
Feeling of terror,Bacteriophobia
Extreme avoidance measures taken,Bacteriophobia
Shortness of breath,Bacteriophobia
Swollen lymph glands,Barmah forest virus
Swollen joints,Barmah forest virus
Headaches,Barmah forest virus
Muscle aches,Barmah forest virus
Joint pain,Barmah forest virus
Mild fever,Barmah forest virus
Anxiety,Barophobia
Trembling,Barophobia
Feeling of panic,Barophobia
Feeling of terror,Barophobia
Extreme avoidance measures taken,Barophobia
Shortness of breath,Barophobia
Anxiety,Bathmophobia
Trembling,Bathmophobia
Feeling of panic,Bathmophobia
Feeling of terror,Bathmophobia
Extreme avoidance measures taken,Bathmophobia
Shortness of breath,Bathmophobia
Anxiety,Bathophobia
Trembling,Bathophobia
Feeling of panic,Bathophobia
Feeling of terror,Bathophobia
Extreme avoidance measures taken,Bathophobia
Shortness of breath,Bathophobia
Anxiety,Batophobia
Trembling,Batophobia
Feeling of panic,Batophobia
Feeling of terror,Batophobia
Extreme avoidance measures taken,Batophobia
Shortness of breath,Batophobia
Anxiety,Batrachophobia
Trembling,Batrachophobia
Feeling of panic,Batrachophobia
Feeling of terror,Batrachophobia
Extreme avoidance measures taken,Batrachophobia
Shortness of breath,Batrachophobia
Bifid scrotum,Anophthalmia -- cleft palate -- micrognathia
Absent eyes,Anophthalmia -- cleft palate -- micrognathia
Cleft palate,Anophthalmia -- cleft palate -- micrognathia
Small jaw,Anophthalmia -- cleft palate -- micrognathia
Hypospadias,Anophthalmia -- cleft palate -- micrognathia
Inability to recognize a familiar sound,"Agnosia, primary visual"
Inability to recognize a familiar shape,"Agnosia, primary visual"
Inability to recognize a familiar smell,"Agnosia, primary visual"
Inability to recognize a familiar person,"Agnosia, primary visual"
Inability to recognize familiar objects,"Agnosia, primary visual"
Inability to identify a familiar stimulus,"Agnosia, primary visual"
Enlarged liver,Addison-gull syndrome
Chronic jaundice,Addison-gull syndrome
Bile duct cirrhosis,Addison-gull syndrome
Xanthomas,Addison-gull syndrome
Liver cirrhosis,Addison-gull syndrome
Myopia,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Cleft palate,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Abnormal external ears,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Pits near ears,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Cleft lips,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Nystagmus,Auricular abnormalities -- cleft lip with or without cleft palate -- ocular abnormalities
Behavioral problems,Trisomy 1q44-qter
Cat-like cry,Trisomy 1q44-qter
Mental retardation,Trisomy 1q44-qter
Minor anomalies,Trisomy 1q44-qter
